Location,Date,day_avg,min_temp,max_temp
Schiphol,20150101,3.5,0.9,5.5
Schiphol,20150102,7.6,5.2,10.6
Schiphol,20150103,4.6,3.1,6.6
Schiphol,20150104,3.5,-0.9,7.9
Schiphol,20150105,2.9,0,3.9
Schiphol,20150106,3.2,0.7,6.8
Schiphol,20150107,4.2,1.1,7.3
Schiphol,20150108,6.8,4.2,8.7
Schiphol,20150109,9.8,5.9,12.4
Schiphol,20150110,9.2,5.2,12.3
Schiphol,20150111,6.6,4.9,8.2
Schiphol,20150112,9,7.7,10.7
Schiphol,20150113,8.3,5.2,10
Schiphol,20150114,4.4,2.1,6.2
Schiphol,20150115,7.7,5,10.1
Schiphol,20150116,5.1,2,8.4
Schiphol,20150117,2.7,-1.1,6.3
Schiphol,20150118,2.5,1.2,3.6
Schiphol,20150119,0.2,-1.6,1.9
Schiphol,20150120,0.6,-1.6,3.6
Schiphol,20150121,-0.3,-3,1.6
Schiphol,20150122,-0.8,-2.8,1.3
Schiphol,20150123,-2.9,-6.3,0.7
Schiphol,20150124,2.4,-0.8,6.9
Schiphol,20150125,4.5,-0.3,6.8
Schiphol,20150126,6.6,3.2,8.6
Schiphol,20150127,5.5,2.9,7.6
Schiphol,20150128,5.2,2.1,7.6
Schiphol,20150129,3,-0.1,5.5
Schiphol,20150130,1.3,-2.5,4.1
Schiphol,20150131,1.5,-1.9,5
Schiphol,20150201,2.9,-1.4,6
Schiphol,20150202,2.5,0.5,6.2
Schiphol,20150203,1.3,-2,6.4
Schiphol,20150204,-0.1,-4.8,6
Schiphol,20150205,-0.1,-4,2.3
Schiphol,20150206,0,-1.4,2.1
Schiphol,20150207,2.4,-5,6.4
Schiphol,20150208,5.1,1.6,7.4
Schiphol,20150209,5.9,4,7.2
Schiphol,20150210,5.8,3.6,7.2
Schiphol,20150211,4.3,3.1,5.3
Schiphol,20150212,3.6,2.8,4.5
Schiphol,20150213,5.5,0.7,9.9
Schiphol,20150214,6.9,5.2,9.5
Schiphol,20150215,2.5,-2,7.6
Schiphol,20150216,1.3,-3.6,7.3
Schiphol,20150217,3.9,-1.4,8.7
Schiphol,20150218,2.5,-2.8,8.6
Schiphol,20150219,3.7,-1.2,8.3
Schiphol,20150220,5.2,3.7,6.8
Schiphol,20150221,3.1,0.1,6.1
Schiphol,20150222,3,-1.8,7.6
Schiphol,20150223,6,3.2,9.1
Schiphol,20150224,5.5,1.7,8.9
Schiphol,20150225,4.2,-0.2,7.5
Schiphol,20150226,6.2,3.9,8.5
Schiphol,20150227,4.3,-0.4,7.9
Schiphol,20150228,5.2,-0.4,9.7
Schiphol,20150301,7.9,5.1,10.3
Schiphol,20150302,5.2,1.3,8
Schiphol,20150303,4.7,2.4,7.1
Schiphol,20150304,5.4,3.6,7.3
Schiphol,20150305,5.4,-0.3,9.6
Schiphol,20150306,6.4,2.4,9.6
Schiphol,20150307,7.7,3.6,13.6
Schiphol,20150308,8.2,2.3,13.9
Schiphol,20150309,8,2.3,11.9
Schiphol,20150310,7.1,0.9,10.9
Schiphol,20150311,3.8,-2.8,9.9
Schiphol,20150312,6.3,-1.5,13.1
Schiphol,20150313,4.8,1,8.7
Schiphol,20150314,4.2,1.7,5.6
Schiphol,20150315,5.7,4.5,6.7
Schiphol,20150316,6.8,2.8,11.4
Schiphol,20150317,8.3,1.2,15.4
Schiphol,20150318,5.5,1.9,7.5
Schiphol,20150319,7.7,4.5,12.7
Schiphol,20150320,4.9,1.7,8.6
Schiphol,20150321,6.5,4.2,10.1
Schiphol,20150322,4.5,1.2,8.3
Schiphol,20150323,3.4,-1.8,9.4
Schiphol,20150324,5.4,-0.5,10.6
Schiphol,20150325,5.9,3.5,7.3
Schiphol,20150326,4.7,-0.3,7.9
Schiphol,20150327,5.9,0.6,8.7
Schiphol,20150328,7.1,0.6,10.7
Schiphol,20150329,8.9,6.7,11.4
Schiphol,20150330,7,5.7,9.1
Schiphol,20150331,8.5,5.5,10.7
Schiphol,20150401,6.7,3.9,9.4
Schiphol,20150402,6.2,4.1,9.1
Schiphol,20150403,7.1,4.3,9.9
Schiphol,20150404,5.2,1,9.7
Schiphol,20150405,5,-1.6,11.1
Schiphol,20150406,7.5,2.8,12.5
Schiphol,20150407,6.5,1.6,11.7
Schiphol,20150408,8.3,5.2,14.2
Schiphol,20150409,10.5,4.5,16.3
Schiphol,20150410,11.3,3.6,19.2
Schiphol,20150411,8.9,3.2,13.5
Schiphol,20150412,9.7,2.5,15.7
Schiphol,20150413,7.9,4.3,11.9
Schiphol,20150414,10.7,4,17.9
Schiphol,20150415,12.7,6.4,20.7
Schiphol,20150416,9.6,6.9,12.6
Schiphol,20150417,8.5,4.8,12.3
Schiphol,20150418,8.8,3.7,14.5
Schiphol,20150419,8.2,1.4,13.9
Schiphol,20150420,11.1,5.9,16.3
Schiphol,20150421,9.9,2.8,16.3
Schiphol,20150422,8.4,2.8,11.3
Schiphol,20150423,9.6,5.9,15
Schiphol,20150424,11.8,3.6,18.8
Schiphol,20150425,12,8.2,15
Schiphol,20150426,9.8,7.5,11.6
Schiphol,20150427,7.4,0.8,12.8
Schiphol,20150428,6.7,0.7,11.5
Schiphol,20150429,8.4,3.5,14.2
Schiphol,20150430,9,3.8,13.5
Schiphol,20150501,8.5,4.5,13.1
Schiphol,20150502,9.6,3,15.1
Schiphol,20150503,12.4,7.5,16.7
Schiphol,20150504,14.9,11.7,18.5
Schiphol,20150505,15.3,10.6,22.3
Schiphol,20150506,12.1,8.7,15.6
Schiphol,20150507,11.9,8.5,15.3
Schiphol,20150508,13.9,8.2,19
Schiphol,20150509,12.8,7.3,16.2
Schiphol,20150510,12.6,4.8,18.6
Schiphol,20150511,16.8,11.8,25
Schiphol,20150512,14.1,11.6,16.9
Schiphol,20150513,11.8,6.9,16.7
Schiphol,20150514,11.3,7.9,15.3
Schiphol,20150515,9.3,5.5,14.4
Schiphol,20150516,11,6.4,14.9
Schiphol,20150517,11.7,7.4,15.8
Schiphol,20150518,10.7,7.7,13.7
Schiphol,20150519,10.6,6.9,14.5
Schiphol,20150520,10,6,14.5
Schiphol,20150521,12.2,5.4,16
Schiphol,20150522,14.4,12,19.4
Schiphol,20150523,12.1,5.7,16
Schiphol,20150524,12.2,3.7,17.9
Schiphol,20150525,12,9.1,14.9
Schiphol,20150526,11.8,7.8,15.6
Schiphol,20150527,13.3,7.2,18.2
Schiphol,20150528,12.9,7.8,15.9
Schiphol,20150529,11.3,8.2,14.7
Schiphol,20150530,11.5,8.5,14.6
Schiphol,20150531,12.3,8.6,15.7
Schiphol,20150601,12.6,6,16.4
Schiphol,20150602,14.4,11.2,16.9
Schiphol,20150603,14,7.9,17.7
Schiphol,20150604,15.5,7.5,21.1
Schiphol,20150605,20.5,12,31
Schiphol,20150606,14.9,10.6,17.7
Schiphol,20150607,13.3,8,17.6
Schiphol,20150608,12.6,8.8,17
Schiphol,20150609,11.7,9.6,14.2
