date,temp_avg,temp_min,temp_max
20150101,3.7,2,5.4
20150102,7.4,5,11.1
20150103,4.5,2.7,6.3
20150104,3.3,0.2,7.5
20150105,3.2,1.4,4.2
20150106,3,0.2,7.1
20150107,4.4,0.8,7.3
20150108,6.9,4.3,8.3
20150109,9.8,6.4,12.5
20150110,9.2,5,12.3
20150111,6.6,5.1,8.4
20150112,8.6,7.2,9.8
20150113,8.4,5,10.1
20150114,4.8,3.6,6.3
20150115,8.1,5.6,10.5
20150116,5.2,2,7.5
20150117,2.9,-1.5,5.8
20150118,2.5,1.5,3.5
20150119,1,-0.2,2.4
20150120,1.8,0.8,3.3
20150121,0.1,-2.2,1.5
20150122,-1.1,-3.4,0.8
20150123,-2.4,-5.2,-0.3
20150124,2.8,-0.5,6.9
20150125,4.6,0,7
20150126,6.8,4.5,8.6
20150127,5.3,2.1,8.3
20150128,5.5,3.2,7.5
20150129,3.6,0.3,6.1
20150130,2.3,-0.7,4.6
20150131,2,-0.5,5.1
20150201,3.8,1.3,5.9
20150202,2.7,0.8,6.1
20150203,1.3,-2.1,6.4
20150204,-0.1,-4.4,5.4
20150205,-0.7,-5,2.1
20150206,-0.2,-1.7,2.1
20150207,1.8,-5,5.8
20150208,5.1,1.8,7.2
20150209,5.3,2.8,7.2
20150210,5.8,4.5,7.1
20150211,4.6,3.7,5.4
20150212,4.2,2.9,5.2
20150213,6.6,1.5,11.1
20150214,7.3,5,9.2
20150215,3.7,-1.3,7.4
20150216,2.2,-3.3,7.8
20150217,4.2,-1.4,8.5
20150218,3.1,-1.7,8.2
20150219,4,-0.3,8
20150220,5.5,3.9,6.8
20150221,3.5,-0.2,6.1
20150222,3.5,-1.1,7
20150223,6.2,3.6,9.3
20150224,5.8,3.6,8.8
20150225,4.6,1.6,6.7
20150226,6.6,4.5,8.9
20150227,4.7,0.1,8.1
20150228,5.7,1.6,9.3
20150301,8.3,6.3,10.3
20150302,5.6,4.2,8
20150303,5.2,3.5,7.9
20150304,5.6,4.2,7.5
20150305,5.4,0.3,9.3
20150306,7.3,5.2,9.1
20150307,8.4,4.9,12.8
20150308,8.9,5.8,13.6
20150309,8.2,1.8,12.4
20150310,7.2,-0.5,10.7
20150311,4.3,-2.1,10.3
20150312,6.8,-0.6,12.6
20150313,5,0.9,9.7
20150314,3.6,0.9,5.1
20150315,5.7,4,7.7
20150316,6.5,1,12.2
20150317,7.7,-0.6,16.2
20150318,5.6,0.8,7.4
20150319,7,3.3,11.4
20150320,4.9,1.9,9.2
20150321,6.6,4.3,9.3
20150322,4.9,1.4,7.8
20150323,3.7,-1.2,8.4
20150324,5.8,0.5,9.6
20150325,6,3.1,7.7
20150326,5,0,8.3
20150327,6.2,2.1,10
20150328,8.1,2.3,11.9
20150329,9.1,7.2,10.9
20150330,7.3,5.8,9.3
20150331,8.8,3,11.3
20150401,6.9,3.7,9.6
20150402,5.8,1.9,8.7
20150403,6.1,0.5,8.8
20150404,5,1.4,8.9
20150405,4.6,-1.3,10.9
20150406,6.6,1,12
20150407,6.4,0.6,12.2
20150408,7.8,1.5,14
20150409,9.7,2.7,17.8
20150410,11.5,2.4,20.6
20150411,9.7,4.9,13.5
20150412,10.3,4.3,16
20150413,8.2,3.8,11.9
20150414,12.5,5.4,19
20150415,13.5,7.4,21.4
20150416,9.7,5.7,14.1
20150417,8.7,4.9,12.7
20150418,8.3,1.3,14.5
20150419,7.4,0.9,13.3
20150420,10.3,2.9,16.9
20150421,9.6,3.1,16.4
20150422,8,1.4,12
20150423,9.3,3.8,14.3
20150424,11.7,1.5,18.9
20150425,12.5,10.5,15.5
20150426,10.6,7.5,12.2
20150427,7.3,0.3,11.9
20150428,7.3,0.3,11
20150429,9.4,4.9,15
20150430,9.3,3.9,13.2
20150501,8.4,2.3,13
20150502,9.8,1.7,15
20150503,13,8.5,16.8
20150504,15.5,11.9,19.9
20150505,15.2,11.7,21.1
20150506,12.1,8.9,15.9
20150507,12.2,8.9,15.4
20150508,14.6,9.5,18.4
20150509,12.9,7,15.9
20150510,13.3,4.9,18.8
20150511,17.6,12.3,24.1
20150512,13.9,11.3,16.8
20150513,11.9,5.5,17.1
20150514,11.5,4.9,16.2
20150515,9.4,5,13.6
20150516,11.2,7.4,14.1
20150517,11.9,8.2,15.8
20150518,11.2,8.8,14
20150519,10.7,7.9,14.7
20150520,10,5.5,13.5
20150521,12.3,4.4,16.2
20150522,14.3,11.8,19
20150523,12.5,5,16.2
20150524,12.4,2.4,18.5
20150525,12,6.2,16
20150526,12,6.3,16.2
20150527,13.3,6.1,17.9
20150528,13.1,7.7,16.2
20150529,11.6,6.8,15.7
20150530,11.6,6.3,15.2
20150531,12.9,9.3,16.2
20150601,12.7,5.9,16.7
20150602,14.4,11.3,16.8
20150603,14.1,8.5,17.8
20150604,16.2,5.9,22.1
20150605,20.9,10.5,32.4
20150606,14.8,10.5,17.8
20150607,13.3,7.8,18.2
20150608,12.7,7.2,17.9
20150609,11.3,7.6,14.6
20150610,15,5.5,21.6
20150611,18,9.1,24.8
20150612,20.8,11.2,27.7
20150613,16.9,13.8,21.2
20150614,15.5,12.9,19.9
20150615,13.8,8,18.2
20150616,12.2,5.7,17.4
20150617,16.4,7.1,22.7
20150618,14.1,12.1,16.2
20150619,13.3,11.2,15.8
20150620,14.3,11.8,17.8
20150621,15,13.2,16.6
20150622,12.9,10.6,15.3
20150623,12.8,9.3,16
20150624,16.3,12,21.9
20150625,18.1,12.5,22.9
20150626,20.3,12,25.6
20150627,17.4,12.3,20.6
20150628,18.6,11.8,24.1
20150629,18,11.9,22.7
20150630,21.6,10.7,27.7
20150701,27,16,34.4
20150702,24,19.5,27.6
20150703,23.3,16.2,28.2
20150704,23.9,17.3,30.7
20150705,19.6,16,27.7
20150706,18.3,14.3,22.8
20150707,19.4,12.5,24.7
20150708,16.2,12.5,19.8
20150709,13.9,9,17.6
20150710,18.1,8.2,23.8
20150711,20.4,14.8,27.6
20150712,17.8,16,20.7
20150713,17.5,16.6,18.8
20150714,17.9,15.2,19.9
20150715,17.7,13.9,20.9
20150716,19.2,12.1,24.4
20150717,21.2,16.8,25.8
20150718,18,14.7,21.5
20150719,17.2,14.7,21.5
20150720,19.2,15.1,21.6
20150721,20.4,17,25
20150722,19.1,16.3,23.4
20150723,17.6,13.7,22.1
20150724,19.1,13.8,24.1
20150725,14.9,8.9,19.2
20150726,14.9,8.5,21.1
20150727,16.9,14.5,19.5
20150728,15.6,12.6,18.7
20150729,14.4,10.9,17.4
20150730,13.3,8.6,17.4
20150731,14.2,7,19.4
20150801,16,8.8,21.3
20150802,19.2,10.3,25.1
20150803,21.1,15.6,26.9
20150804,17.9,14.3,20.8
20150805,20.2,13.6,25.9
20150806,20,14.3,26.5
20150807,19.6,13.5,24.8
20150808,18.5,13.3,23.4
20150809,18.8,11.4,25.1
20150810,19.3,17,22.8
20150811,19.5,15.6,24.4
20150812,19.6,16.5,23.3
20150813,21.5,14.7,28.6
20150814,21,17.7,24.7
20150815,17.2,15.1,20.2
20150816,15.7,13,18
20150817,14.3,13,15
20150818,14.4,13.3,16.8
20150819,17.5,13.9,22.4
20150820,18.9,12,24.2
20150821,21,16,26.5
20150822,21.8,16.9,26.8
20150823,19.8,15.6,26.7
20150824,17.3,12.5,22.3
20150825,16.5,14.4,19.3
20150826,20.2,16.7,24.9
20150827,15.9,14.3,18.6
20150828,15.9,12.1,20.5
20150829,17.4,10.3,23.7
20150830,19.9,14.8,24.8
20150831,20.1,16.7,25.4
20150901,15.6,9.9,19.2
20150902,13.4,9.2,18.3
20150903,12.4,8.4,17.2
20150904,14,12.8,16.5
20150905,13.7,11.2,17.1
20150906,13.6,11.3,16.7
20150907,14.8,12.3,18.2
20150908,14.5,11.6,16.8
20150909,13.9,9.3,20
20150910,14,8.7,19.6
20150911,14,7.9,19.5
20150912,16.1,12.6,19.8
20150913,16,12,18.8
20150914,14.6,11.5,20.2
20150915,12.9,10.8,14.9
20150916,15.4,11.6,19.3
20150917,14.6,12.2,15.8
20150918,13.7,10.6,17.3
20150919,13.4,10.4,17.6
20150920,13.7,8.4,18.5
20150921,14.6,11.3,18
20150922,13.3,9.9,17.4
20150923,13.4,9.7,16.2
20150924,13.3,11.6,15.8
20150925,12,6.8,17
20150926,10.9,5.3,17.5
20150927,11.5,5,17.6
20150928,11.2,4.5,16.9
20150929,11.3,4.6,17.7
20150930,11.7,5.5,17.5
20151001,10.9,5.9,16.8
20151002,10.4,3,17.2
20151003,11.1,3,18.8
20151004,11.1,5.5,17.2
20151005,13.3,5.9,16.7
20151006,15.6,13.2,18.4
20151007,15,13.8,16.9
20151008,13.3,10.7,16
20151009,11.6,7.9,16
20151010,11.2,5.2,15.4
20151011,7,3.3,11.7
20151012,5.4,1,11
20151013,4.9,2.1,7.7
20151014,5.9,3.2,9.5
20151015,6.2,2.3,8.2
20151016,8.4,7.5,10
20151017,9,5.3,10.4
20151018,8.8,3.3,12.2
20151019,10.7,7,13.4
20151020,10.1,6.5,14.2
20151021,10.2,5.2,12.4
20151022,12.6,8.9,15.7
20151023,12.1,9.5,14.4
20151024,12.2,10.5,14.1
20151025,10.3,4,14.4
20151026,10.7,5.7,15.8
20151027,12,5.7,17.4
20151028,11.7,8.8,14.6
20151029,11.2,8.5,15.3
20151030,11.4,8.5,16
20151031,9.8,4.6,15.4
20151101,8.7,3.1,16.4
20151102,8.4,3.3,15.2
20151103,10.4,2.2,17.1
20151104,13.3,11.5,15.7
20151105,13.8,11.4,16
20151106,15.5,14.1,17.3
20151107,16.1,13.8,18.5
20151108,13.6,7.2,17.3
20151109,13.7,12.6,15.7
20151110,14.4,13.1,15.3
20151111,13,12.1,13.7
20151112,13.4,12.3,15.3
20151113,11.3,8.3,13.8
20151114,10.3,9.1,14.3
20151115,14.1,13.1,14.7
20151116,12.5,11.3,13.6
